participant,age_1,gender_1,qualification_1,employment_1,employment_2,employment_3,employment_4,employment_5,employment_6,employment_7,employment_8,disorder_1,screentime_1,socialmedia_1,computergames_1,exercise_1,sleep_1,mood_1,regularity_1,duration_1,experience_1,style_1,style_specification_1,sart_1,endcode,CLIENT_start,TIME_start,TIME_end,TIME_total
s.849fa5ee-30eb-454e-897f-017723f70cbf.txt,1,2,1,0,0,0,0,0,1,0,0,2,6 hours,4 hours,2,4,2,4,1,"","","","",sart2.2024-05-22-0639.data.849fa5ee-30eb-454e-897f-017723f70cbf.txt,GzJUvEEtmT,2024-04-22-10-55,2024-05-22-05-55,2024-05-22-06-39,44
s.7bc52b6a-8df7-49ae-934a-d75c152a38d8.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,1,1,4,3,4,2,1,4,3,waking up app (sam harris),sart2.2024-05-29-1138.data.7bc52b6a-8df7-49ae-934a-d75c152a38d8.txt,g3LmvfYCtD,2024-04-29-11-28,2024-05-29-11-28,2024-05-29-11-38,10
s.5b365e94-8417-43b4-862c-40150a86ae5b.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,0,2,4,3,10,2,1,2,3,"",sart2.2024-05-22-1353.data.5b365e94-8417-43b4-862c-40150a86ae5b.txt,v7xFdMPbD9,2024-04-22-13-43,2024-05-22-13-43,2024-05-22-13-53,10
s.be79b70a-dd75-4d1b-ac0f-ac66abec67a4.txt,2,2,2,0,0,0,0,0,1,0,0,2,2,2,3,3,3,8,4,1,3,3,"",sart2.2024-06-01-1748.data.be79b70a-dd75-4d1b-ac0f-ac66abec67a4.txt,hQuHPDYJ9u,2024-05-01-17-40,2024-06-01-17-40,2024-06-01-17-48,8
s.f55c07cf-a046-4c4f-9283-652d1e529dc0.txt,3,1,2,0,1,0,0,0,1,0,0,2,7,6,2,3,3,7,3,2,2,2,"",sart2.2024-05-22-2159.data.f55c07cf-a046-4c4f-9283-652d1e529dc0.txt,rfQt9rhtuM,2024-04-22-21-51,2024-05-22-21-51,2024-05-22-21-59,8
s.6334185d-29b1-45d1-85a9-d3d3bb6e0052.txt,2,1,2,0,0,0,0,0,1,0,0,2,5,4,2,1,3,7,1,"","","","","","",2024-04-24-19-24,2024-05-24-19-24,"",""
s.96bf5ec7-406f-4b18-96ec-33f10046b0d5.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,2,1,1,4,7,1,"","","","",sart2.2024-05-29-1632.data.96bf5ec7-406f-4b18-96ec-33f10046b0d5.txt,8HjATNTEDQ,2024-04-29-16-21,2024-05-29-16-22,2024-05-29-16-32,10
s.bc94bcce-d4a4-4218-a5ea-c247bd1ebcfc.txt,2,2,2,0,1,0,0,0,1,0,0,2,3,3,2,4,3,3,2,1,2,3,"",sart2.2024-05-21-1857.data.bc94bcce-d4a4-4218-a5ea-c247bd1ebcfc.txt,MHKvDVEBbb,2024-04-21-18-13,2024-05-21-18-13,2024-05-21-18-57,44
s.7ef96a73-b4ab-4d92-b409-12e7d81c9bb4.txt,2,1,2,0,0,0,0,0,1,0,0,2,2,1,1,4,2,4,2,1,3,3,"",sart2.2024-05-23-2101.data.7ef96a73-b4ab-4d92-b409-12e7d81c9bb4.txt,snbcEFPzAv,2024-04-23-20-51,2024-05-23-20-51,2024-05-23-21-01,10
s.58e6f401-eb98-43c5-98e5-38e8449a5ed5.txt,4,2,4,1,0,0,0,0,0,0,0,2,3-4,2,1,1,5,4,1,"","","","","","",2024-04-22-00-35,2024-05-22-01-35,"",""
s.28a53377-cb90-4fa3-b9ae-8af56f2f72e9.txt,2,1,2,0,0,0,0,0,1,0,0,2,5,1,1,2,4,3,2,1,1,3,"",sart2.2024-05-22-0813.data.28a53377-cb90-4fa3-b9ae-8af56f2f72e9.txt,49EGyg7ZRB,2024-04-22-08-05,2024-05-22-08-04,2024-05-22-08-13,9
s.cbea5507-979d-453a-aa06-da557e42ed0a.txt,3,1,3,0,1,0,0,0,1,0,0,2,3,2,1,4,2,4,1,"","","","",sart2.2024-06-10-0844.data.cbea5507-979d-453a-aa06-da557e42ed0a.txt,5KyyCqrczM,2024-05-10-08-35,2024-06-10-08-35,2024-06-10-08-44,9
s.4f0cd6ab-f84b-453b-abeb-859adae731dc.txt,3,1,1,0,0,0,0,0,1,0,0,2,3,2,1,4,3,3,1,"","","","",sart2.2024-05-22-2110.data.4f0cd6ab-f84b-453b-abeb-859adae731dc.txt,2dMBwqsUBr,2024-04-22-21-00,2024-05-22-21-00,2024-05-22-21-10,10
s.a3f900e8-edef-4501-a2d0-7fa5776b8235.txt,3,1,5,0,0,0,1,0,0,0,0,2,2,1,1,4,3,6,1,"","","","",sart2.2024-05-22-1435.data.a3f900e8-edef-4501-a2d0-7fa5776b8235.txt,eegMcTk8he,2024-04-22-14-26,2024-05-22-14-26,2024-05-22-14-35,9
s.b147dd44-4ac2-4536-bd95-d2140c852489.txt,2,2,2,0,1,0,0,0,1,0,0,2,3h14min,1,1,4,2,4,5,1,3,3,"",sart2.2024-05-21-2352.data.b147dd44-4ac2-4536-bd95-d2140c852489.txt,wGxvX4z368,2024-04-21-23-41,2024-05-21-23-41,2024-05-21-23-52,11
s.335a38f1-a553-452f-90a6-c7697a4da4fc.txt,2,1,4,0,0,0,0,0,1,0,0,2,5,3,1,4,2,9,1,"","","","",sart2.2024-05-24-1407.data.335a38f1-a553-452f-90a6-c7697a4da4fc.txt,uBXUGDnZBp,2024-04-24-12-59,2024-05-24-13-59,2024-05-24-14-07,8
s.e32cc6ec-51ae-444c-ba3f-0ce0df10ddf8.txt,2,1,2,0,0,0,0,0,1,0,0,2,7,3,1,3,2,3,2,1,4,3,"",sart2.2024-05-22-1722.data.e32cc6ec-51ae-444c-ba3f-0ce0df10ddf8.txt,RJB9Z8j8hL,2024-04-22-17-14,2024-05-22-17-14,2024-05-22-17-22,8
s.f131ae9d-699e-4496-827f-15a765af1b7b.txt,2,1,2,0,0,0,0,0,1,0,0,2,3,2,1,4,4,7,2,1,2,3,"",sart2.2024-05-30-1952.data.f131ae9d-699e-4496-827f-15a765af1b7b.txt,eHQuD294Qq,2024-04-30-19-43,2024-05-30-19-43,2024-05-30-19-52,9
s.af70fa32-bd8a-4990-aaa2-c6d22a4130ea.txt,6,2,1,1,0,0,0,0,0,0,0,2,3,1,1,1,4,7,1,"","","","",sart2.2024-06-03-2031.data.af70fa32-bd8a-4990-aaa2-c6d22a4130ea.txt,vm2LEGN3KH,2024-05-03-20-20,2024-06-03-20-20,2024-06-03-20-31,11
s.acbb18ea-4b05-45ce-b30b-e93c941e6719.txt,2,1,2,0,0,0,0,0,1,0,0,2,4,2,2,2,4,4,2,1,4,3,"",sart2.2024-05-30-1237.data.acbb18ea-4b05-45ce-b30b-e93c941e6719.txt,ehuXb2qQ55,2024-04-30-12-24,2024-05-30-12-24,2024-05-30-12-37,13
s.5f9f5316-6a0f-43ef-a676-141c60446ca9.txt,3,1,4,0,0,0,0,0,1,0,0,2,3-4,3,1,1,2,7,1,"","","","","","",2024-04-25-18-40,2024-05-25-17-40,"",""
